year,fips,annual_avg_emplvl,annual_avg_wkly_wage,total_annual_wages,annual_avg_estabs
2015,17155,108,437,2449384,18
2015,17157,1414,504,37086878,92
2015,17159,681,446,15792619,63
2015,17161,7822,535,217796330,437
2015,17163,12889,475,318347516,804
2015,17165,1156,480,28840915,93
2015,17167,12244,475,302503331,701
2015,17169,189,473,4657662,24
2015,17171,82,407,1730411,11
2015,17173,551,386,11079649,60
2015,17175,152,598,4709867,17
2015,17177,1665,470,40706024,139
2015,17179,6569,518,176841366,363
2015,17181,659,456,15631778,57
2015,17183,3752,435,84873716,247
2015,17185,345,451,8081445,44
2015,17187,551,407,11661280,49
2015,17189,893,456,21154482,54
2015,17191,481,486,12158745,52
2015,17193,625,538,17486758,64
2015,17195,2488,438,56673641,184
2015,17197,28712,501,748181207,1536
2015,17199,3372,498,87349914,222
2015,17201,14115,510,373997505,874
2015,17203,1076,603,33743780,85
2015,17999,0,0,0,1072
2015,18001,1336,457,31710064,126
2015,18003,20761,509,549774634,1158
2015,18005,4727,443,108822901,287
2015,18007,195,380,3847040,28
2015,18009,320,374,6209832,36
2015,18011,6473,670,225425678,149
2015,18013,374,376,7307194,77
2015,18015,409,438,9311068,51
2015,18017,1592,462,38243135,119
2015,18019,8686,500,225952448,382
2015,18021,939,432,21100412,76
2015,18023,923,427,20496690,85
2015,18025,188,377,3677585,26
2015,18027,1333,499,34568950,105
2015,18029,1935,520,52357945,127
2015,18031,1168,447,27136757,95
2015,18033,1484,476,36762197,106
2015,18035,6419,466,155471481,404
2015,18037,2942,521,79669953,205
2015,18039,9287,509,245682433,652
2015,18041,802,464,19354317,66
2015,18043,3073,455,72782289,165
2015,18045,579,341,10245784,60
2015,18047,612,460,14649077,47
2015,18049,838,436,19020838,71
2015,18051,1586,477,39303191,110
2015,18053,3101,429,69122170,239
2015,18055,974,410,20754935,93
2015,18057,16503,569,488335175,829
2015,18059,2323,499,60263337,150
2015,18061,1286,463,30995113,94
2015,18063,10391,527,284645695,404
2015,18065,1633,448,38023934,148
2015,18067,4936,453,116144516,313
2015,18069,1305,435,29560203,127
2015,18071,2195,475,54237119,166
2015,18073,1475,448,34387051,117
2015,18075,626,408,13294431,53
2015,18077,1632,486,41267417,117
2015,18079,693,471,16955430,51
2015,18081,8523,472,209399286,472
2015,18083,1957,444,45149447,144
2015,18085,3742,469,91212046,272
2015,18087,1067,478,26496980,136
2015,18089,24590,490,626471597,1468
2015,18091,5459,434,123235167,402
2015,18093,1955,458,46576883,145
2015,18095,4820,436,109233920,325
2015,18097,51475,569,1521842284,2873
2015,18099,2014,497,52097480,163
2015,18101,306,400,6374142,30
2015,18103,850,452,19980951,86
2015,18105,7077,438,161106880,422
2015,18107,1599,437,36307356,119
2015,18109,2251,465,54467469,165
2015,18111,239,416,5166134,33
2015,18113,1472,457,34942716,117
2015,18115,79,258,1055210,10
2015,18117,634,430,14181283,56
2015,18119,442,423,9733217,37
2015,18121,335,379,6593084,38
2015,18123,743,376,14552844,55
2015,18125,270,351,4923677,34
2015,18127,7317,470,179022603,406
2015,18129,737,611,23446323,54
2015,18131,436,459,10391423,57
2015,18133,1125,438,25645153,87
2015,18135,572,373,11094318,72
2015,18137,822,515,22023233,101
2015,18139,549,483,13771310,53
2015,18141,14159,480,353335381,843
2015,18143,998,439,22751433,78
2015,18145,1512,508,39957070,120
2015,18147,391,445,9034700,49
2015,18149,567,479,14123958,56
2015,18151,2059,412,44063911,156
2015,18153,656,392,13353776,54
2015,18155,125,361,2350293,19
2015,18157,9397,467,228246530,494
2015,18159,413,557,11948201,34
2015,18161,167,391,3402787,25
2015,18163,12412,500,322420462,721
2015,18165,634,460,15155386,50
2015,18167,6420,443,147865658,375
2015,18169,1266,461,30340045,109
2015,18171,105,404,2204737,14
2015,18173,1558,447,36194112,123
2015,18175,822,487,20793034,68
2015,18177,3872,456,91794096,247
2015,18179,1002,434,22593696,78
2015,18181,1091,542,30733737,83
2015,18183,1117,489,28394251,93
2015,18999,2608,804,109017582,231
2015,19001,351,355,6467046,34
2015,19003,82,490,2084847,11
2015,19005,617,420,13482162,64
2015,19007,704,434,15875378,59
2015,19009,181,362,3397372,20
2015,19011,846,531,23356249,80
2015,19013,9340,490,238055058,538
2015,19015,1134,459,27040273,72
2015,19017,1138,454,26836519,77
2015,19019,844,478,20965531,73
2015,19021,1168,447,27112651,95
2015,19023,361,407,7640973,50
2015,19025,307,471,7500315,45
2015,19027,1503,473,36944239,135
2015,19029,838,447,19482988,73
2015,19031,589,447,13699514,52
2015,19033,3567,474,87829122,233
2015,19035,637,450,14907695,56
2015,19037,512,524,13949416,45
2015,19039,563,427,12521637,35
2015,19041,1416,509,37490512,111
2015,19043,698,478,17358592,82
2015,19045,2521,461,60480716,173
